mean,var,shape,scale
1e-10,0.006312625337875751,1.5841269622006557e-18,63126253.378757514
1e-10,0.006412825738476954,1.5593749788022465e-18,64128257.38476954
1e-10,0.006513026139078156,1.535384594881326e-18,65130261.39078156
1e-10,0.006613226539679358,1.5121211922803494e-18,66132265.39679358
1e-10,0.006713426940280561,1.4895522195974164e-18,67134269.4028056
1e-10,0.006813627340881763,1.4676470402189452e-18,68136273.40881763
1e-10,0.006913827741482965,1.4463767935668981e-18,69138277.41482966
1e-10,0.0070140281420841685,1.4257142682391024e-18,70140281.42084168
1e-10,0.007114228542685371,1.4056337858701054e-18,71142285.4268537
1e-10,0.007214428943286573,1.3861110946702935e-18,72144289.43286572
1e-10,0.0073146293438877755,1.367123271715219e-18,73146293.43887775
1e-10,0.007414829744488978,1.3486486331574146e-18,74148297.44488977
1e-10,0.00751503014509018,1.3306666516212625e-18,75150301.45090179
1e-10,0.0076152305456913824,1.3131578801193217e-18,76152305.45691383
1e-10,0.007715430946292585,1.296103881897251e-18,77154309.46292585
1e-10,0.007815631346893788,1.2794871656752796e-18,78156313.46893787
1e-10,0.00791583174749499,1.2632911258080439e-18,79158317.4749499
1e-10,0.008016032148096193,1.2474999869324377e-18,80160321.48096192
1e-10,0.008116232548697394,1.232098752715623e-18,81162325.48697394
1e-10,0.008216432949298597,1.2170731583531828e-18,82164329.49298596
1e-10,0.008316633349899799,1.2024096265011472e-18,83166333.49899799
1e-10,0.008416833750501002,1.1880952263557258e-18,84168337.50501001
1e-10,0.008517034151102203,1.1741176356215366e-18,85170341.51102203
1e-10,0.008617234551703407,1.1604651051332074e-18,86172345.51703407
1e-10,0.00871743495230461,1.1471264259168716e-18,87174349.52304609
1e-10,0.008817635352905811,1.1340908984974693e-18,88176353.52905811
1e-10,0.008917835753507014,1.121348304275218e-18,89178357.53507014
1e-10,0.009018036154108216,1.1088888788103212e-18,90180361.54108216
1e-10,0.009118236554709419,1.0967032868691222e-18,91182365.54709418
1e-10,0.00921843695531062,1.0847825990976846e-18,92184369.5531062
1e-10,0.009318637355911824,1.0731182702003008e-18,93186373.55911824
1e-10,0.009418837756513025,1.0617021185108649e-18,94188377.56513025
1e-10,0.009519038157114228,1.0505263068544712e-18,95190381.57114229
1e-10,0.00961923855771543,1.0395833246051652e-18,96192385.5771543
1e-10,0.009719438958316633,1.0288659708535234e-18,97194389.58316633
1e-10,0.009819639358917836,1.0183673386047898e-18,98196393.58917835
1e-10,0.009919839759519038,1.0080807999347008e-18,99198397.59519038
1e-10,0.010020040160120241,9.979999920359602e-19,100200401.6012024
1e-10,0.010120240560721442,9.881188040936381e-19,101202405.60721442
1e-10,0.010220440961322646,9.78431364932603e-19,102204409.61322646
1e-10,0.010320641361923847,9.689320313845228e-19,103206413.61923847
1e-10,0.01042084176252505,9.596153773259986e-19,104208417.6252505
1e-10,0.010521042163126252,9.504761833430933e-19,105210421.63126251
1e-10,0.010621242563727455,9.415094269808831e-19,106212425.63727455
1e-10,0.010721442964328658,9.327102735397678e-19,107214429.64328657
1e-10,0.01082164336492986,9.240740673830935e-19,108216433.6492986
1e-10,0.010921843765531063,9.155963237232558e-19,109218437.65531062
1e-10,0.011022044166132264,9.072727208558349e-19,110220441.66132264
1e-10,0.011122244566733467,8.990990928135055e-19,111222445.66733468
1e-10,0.011222444967334669,8.910714224134887e-19,112224449.67334668
1e-10,0.011322645367935872,8.831858346741641e-19,113226453.67935872
1e-10,0.011422845768537073,8.75438590578178e-19,114228457.68537073
1e-10,0.011523046169138277,8.678260811609529e-19,115230461.69138277
1e-10,0.011623246569739478,8.603448219049645e-19,116232465.69739477
1e-10,0.011723446970340681,8.529914474214918e-19,117234469.70340681
1e-10,0.011823647370941884,8.457627064027866e-19,118236473.70941883
1e-10,0.011923847771543086,8.386554568287551e-19,119238477.71543086
1e-10,0.012024048172144289,8.316666614133056e-19,120240481.7214429
1e-10,0.01212424857274549,8.247933832764977e-19,121242485.7274549
1e-10,0.012224448973346694,8.180327818295352e-19,122244489.73346694
1e-10,0.012324649373947895,8.113821088604932e-19,123246493.73947895
1e-10,0.012424849774549098,8.048387048094434e-19,124248497.74549098
1e-10,0.0125250501751503,7.983999952223746e-19,125250501.75150299
1e-10,0.012625250575751503,7.920634873739734e-19,126252505.75751503
1e-10,0.012725450976352705,7.858267670499599e-19,127254509.76352704
1e-10,0.012825651376953908,7.796874954802491e-19,128256513.76953907
1e-10,0.012925851777555111,7.736434064147588e-19,129258517.77555111
1e-10,0.013026052178156312,7.676923033341776e-19,130260521.78156312
1e-10,0.013126252578757516,7.618320567884856e-19,131262525.78757516
1e-10,0.013226452979358717,7.56060601856451e-19,132264529.79358716
1e-10,0.01332665337995992,7.503759357197355e-19,133266533.7995992
1e-10,0.013426853780561122,7.447761153456228e-19,134268537.80561122
1e-10,0.013527054181162325,7.392592552727354e-19,135270541.81162325
1e-10,0.013627254581763526,7.338235254944422e-19,136272545.81763527
1e-10,0.01372745498236473,7.28467149434962e-19,137274549.8236473
1e-10,0.013827655382965931,7.231884020134637e-19,138276553.8296593
1e-10,0.013927855783567134,7.179856077917293e-19,139278557.83567134
1e-10,0.014028056184168337,7.128571392012041e-19,140280561.84168336
1e-10,0.014128256584769539,7.078014148454908e-19,141282565.84769538
1e-10,0.014228456985370742,7.028168978745686e-19,142284569.8537074
1e-10,0.014328657385971943,6.979020944272289e-19,143286573.85971943
1e-10,0.014428857786573147,6.930555521384067e-19,144288577.86573145
1e-10,0.014529058187174348,6.882758587082807e-19,145290581.87174347
1e-10,0.014629258587775551,6.835616405301746e-19,146292585.87775552
1e-10,0.014729458988376753,6.789115613744644e-19,147294589.88376752
1e-10,0.014829659388977956,6.743243211258401e-19,148296593.88977957
1e-10,0.014929859789579157,6.697986545714158e-19,149298597.89579156
1e-10,0.01503006019018036,6.653333302373156e-19,150300601.9018036
1e-10,0.015130260590781564,6.609271492714881e-19,151302605.90781564
1e-10,0.015230460991382765,6.565789443706199e-19,152304609.91382766
1e-10,0.015330661391983968,6.522875787491307e-19,153306613.91983968
1e-10,0.01543086179258517,6.480519451483388e-19,154308617.9258517
1e-10,0.015531062193186373,6.438709648839793e-19,155310621.93186373
1e-10,0.015631262593787578,6.397435869303582e-19,156312625.93787578
1e-10,0.015731462994388778,6.356687870395067e-19,157314629.94388777
1e-10,0.01583166339498998,6.31645566893783e-19,158316633.9498998
1e-10,0.015931863795591184,6.276729532904553e-19,159318637.95591184
1e-10,0.016032064196192387,6.237499973568594e-19,160320641.96192387
1e-10,0.01613226459679359,6.198757737948072e-19,161322645.9679359
1e-10,0.01623246499739479,6.160493801529797e-19,162324649.97394788
1e-10,0.016332665397995993,6.122699361261019e-19,163326653.97995993
1e-10,0.016432865798597197,6.08536582879759e-19,164328657.98597196
1e-10,0.0165330661991984,6.048484823997648e-19,165330661.99198398
1e-10,0.0166332665997996,6.012048168650458e-19,166332665.997996
1e-10,0.016733467000400803,5.976047880430564e-19,167334670.00400802
1e-10,0.016833667401002006,5.940476167067885e-19,168336674.01002005
1e-10,0.01693386780160321,5.905325420724765e-19,169338678.0160321
1e-10,0.01703406820220441,5.870588212571489e-19,170340682.0220441
1e-10,0.017134268602805612,5.836257287552136e-19,171342686.02805611
1e-10,0.017234469003406815,5.802325559333018e-19,172344690.03406814
1e-10,0.01733466940400802,5.768786105426309e-19,173346694.0400802
1e-10,0.01743486980460922,5.735632162481834e-19,174348698.0460922
1e-10,0.01753507020521042,5.702857121740278e-19,175350702.0521042
1e-10,0.017635270605811625,5.6704545246414e-19,176352706.05811623
1e-10,0.017735471006412828,5.638418058581123e-19,177354710.06412828
1e-10,0.01783567140701403,5.60674155281164e-19,178356714.0701403
1e-10,0.01793587180761523,5.57541897447895e-19,179358718.0761523
1e-10,0.018036072208216434,5.54444442479247e-19,180360722.08216435
1e-10,0.018136272608817637,5.513812135321632e-19,181362726.08817637
1e-10,0.01823647300941884,5.483516464414563e-19,182364730.0941884
1e-10,0.018336673410020043,5.453551893734181e-19,183366734.1002004
1e-10,0.018436873810621243,5.423913024907254e-19,184368738.10621244
1e-10,0.018537074211222446,5.394594576282133e-19,185370742.11222446
1e-10,0.01863727461182365,5.365591379791074e-19,186372746.11823648
1e-10,0.018737475012424853,5.336898377913237e-19,187374750.12424853
1e-10,0.018837675413026053,5.308510620734608e-19,188376754.13026053
1e-10,0.018937875813627256,5.280423263101257e-19,189378758.13627255
1e-10,0.01903807621422846,5.252631561862493e-19,190380762.14228457
1e-10,0.019138276614829662,5.225130873200625e-19,191382766.14829662
1e-10,0.019238477015430862,5.1979166500441625e-19,192384770.15430862
1e-10,0.019338677416032065,5.170984439561438e-19,193386774.16032064
1e-10,0.019438877816633268,5.144329880731746e-19,194388778.16633266
1e-10,0.01953907821723447,5.117948701991216e-19,195390782.1723447
1e-10,0.019639278617835675,5.091836718950749e-19,196392786.17835674
1e-10,0.019739479018436874,5.065989832183463e-19,197394790.18436873
1e-10,0.019839679419038077,5.040404025079176e-19,198396794.19038078
