mean,var,beta_alpha,beta_beta,beta_feasible
0.01002004018,0.005210420936,0.009056188458,0.8947514108,True
0.01002004018,0.005410821738,0.008349661485,0.8249465465,True
0.01002004018,0.005611222539,0.007693600723,0.7601277438,True
0.01002004018,0.005811623341,0.00708278553,0.6997792034,True
0.01002004018,0.006012024142,0.006512691349,0.6434538989,True
0.01002004018,0.006212424943,0.005979377437,0.5907624849,True
0.01002004018,0.006412825745,0.005479395645,0.5413642843,True
0.01002004018,0.006613226546,0.005009715778,0.494959914,True
0.01002004018,0.006813627348,0.004567664139,0.4512852124,True
0.01002004018,0.007014028149,0.004150872593,0.4101062081,True
0.01002004018,0.007214428951,0.003757236133,0.3712149262,True
0.01002004018,0.007414829752,0.003384877318,0.3344258757,True
0.01002004018,0.007615230553,0.003032116336,0.299573091,True
0.01002004018,0.007815631355,0.002697445661,0.2665076286,True
0.01002004018,0.008016032156,0.002379508519,0.2350954393,True
0.01002004018,0.008216432958,0.002077080505,0.2052155519,True
0.01002004018,0.008416833759,0.001789053826,0.1767585162,True
0.01002004018,0.00861723456,0.001514423736,0.1496250636,True
0.01002004018,0.008817635362,0.001252276832,0.1237249497,True
0.01002004018,0.009018036163,0.001001780901,0.098975952,True
0.01002004018,0.009218436965,0.0007621760972,0.07530299766,True
0.01002004018,0.009418837766,0.0005327672427,0.05263740306,True
0.01002004018,0.009619238567,0.0003129170904,0.03091620822,True
0.01002004018,0.009819639369,0.0001020404136,0.01008159276,True
0.01202404819,1e-10,1428393.241,117366310.4,True
0.01202404819,0.0002004009014,0.7007438303,57.57778424,True
0.01202404819,0.0004008017028,0.34435998,28.29491145,True
0.01202404819,0.0006012025042,0.2255653237,18.53395061,True
0.01202404819,0.0008016033056,0.1661679881,13.65346958,True
0.01202404819,0.001002004107,0.1305295844,10.72518076,True
0.01202404819,0.001202404908,0.1067706476,8.77298814,True
0.01202404819,0.00140280571,0.089799978,7.378564798,True
0.01202404819,0.001603206511,0.07707197552,6.332747269,True
0.01202404819,0.001803607313,0.06717241788,5.519333623,True
0.01202404819,0.002004008114,0.05925277167,4.868602698,True
0.01202404819,0.002204408915,0.05277306106,4.336186481,True
0.01202404819,0.002404809717,0.04737330218,3.892506297,True
0.01202404819,0.002605210518,0.04280427541,3.5170846,True
0.01202404819,0.00280561132,0.03888796672,3.195294572,True
0.01202404819,0.003006012121,0.0354938325,2.91640988,True
0.01202404819,0.003206412922,0.03252396505,2.672385773,True
0.01202404819,0.003406813724,0.02990349376,2.457070384,True
0.01202404819,0.003607214525,0.02757418594,2.265678926,True
0.01202404819,0.003807615327,0.02549006841,2.094433937,True
0.01202404819,0.004008016128,0.02361436262,1.940313446,True
0.01202404819,0.004208416929,0.02191729548,1.800871097,True
0.01202404819,0.004408817731,0.02037450717,1.674105325,True
0.01202404819,0.004609218532,0.01896587436,1.558362663,True
0.01202404819,0.004809619334,0.01767462761,1.452265223,True
0.01202404819,0.005010020135,0.0164866806,1.354655578,True
0.01202404819,0.005210420936,0.01539011413,1.264554367,True
0.01202404819,0.005410821738,0.0143747748,1.18112732,True
0.01202404819,0.005611222539,0.01343195971,1.103659347,True
0.01202404819,0.005811623341,0.01255416635,1.031533993,True
0.01202404819,0.006012024142,0.01173489255,0.9642169964,True
0.01202404819,0.006212424943,0.01096847512,0.9012430313,True
0.01202404819,0.006412825745,0.01024995878,0.842204939,True
0.01202404819,0.006613226546,0.009574988877,0.7867449129,True
0.01202404819,0.006813627348,0.008939723091,0.7345472412,True
0.01202404819,0.007014028149,0.008340758205,0.6853322935,True
0.01202404819,0.007214428951,0.007775069146,0.6388515095,True
0.01202404819,0.007414829752,0.007239957874,0.5948832004,True
0.01202404819,0.007615230553,0.006733010353,0.5532290127,True
0.01202404819,0.007815631355,0.00625206014,0.5137109372,True
0.01202404819,0.008016032156,0.005795157437,0.4761687654,True
0.01202404819,0.008216432958,0.005360542671,0.4404579191,True
0.01202404819,0.008416833759,0.004946623846,0.4064475893,True
0.01202404819,0.00861723456,0.004551957058,0.3740191352,True
0.01202404819,0.008817635362,0.004175229671,0.3430647017,True
0.01202404819,0.009018036163,0.003815245722,0.3134860209,True
0.01202404819,0.009218436965,0.003470913249,0.2851933696,True
0.01202404819,0.009418837766,0.003141233222,0.2581046609,True
0.01202404819,0.009619238567,0.002825289862,0.2321446484,True
0.01202404819,0.009819639369,0.00252224215,0.2072442283,True
0.01202404819,0.01002004017,0.002231316346,0.1833398249,True
0.01202404819,0.01022044097,0.001951799397,0.1603728491,True
0.01202404819,0.01042084177,0.0016830331,0.1382892186,True
0.01202404819,0.01062124257,0.001424408927,0.1170389325,True
0.01202404819,0.01082164338,0.001175363427,0.09657569411,True
0.01202404819,0.01102204418,0.0009353741269,0.07685657345,True
0.01202404819,0.01122244498,0.0007039558732,0.0578417071,True
0.01202404819,0.01142284578,0.0004806575582,0.03949402903,True
0.01202404819,0.01162324658,0.000265059185,0.02177902952,True
0.01202404819,0.01182364738,5.676923112e-05,0.004664538452,True
0.01402805621,1e-10,1940258.295,136372439.2,True
0.01402805621,0.0002004009014,0.9541603579,67.06384182,True
0.01402805621,0.0004008017028,0.4700662716,33.03894343,True
0.01402805621,0.0006012025042,0.3087015225,21.69730686,True
0.01402805621,0.0008016033056,0.2280191379,16.02648786,True
0.01402805621,0.001002004107,0.1796097039,12.62399624,True
0.01402805621,0.001202404908,0.1473367466,10.3556684,True
0.01402805621,0.00140280571,0.1242846335,8.735434181,True
0.01402805621,0.001603206511,0.1069955484,7.520258491,True
0.01402805621,0.001803607313,0.09354848196,6.575121828,True
0.01402805621,0.002004008114,0.08279082868,5.819012489,True
0.01402805621,0.002204408915,0.07398911227,5.200377568,True
0.01402805621,0.002404809717,0.06665434854,4.684848464,True
0.01402805621,0.002605210518,0.06044800995,4.248631526,True
0.01402805621,0.00280561132,0.05512829113,3.874731292,True
0.01402805621,0.003006012121,0.05051786813,3.55068442,True
0.01402805621,0.003206412922,0.04648374798,3.267143406,True
0.01402805621,0.003406813724,0.04292423019,3.016960158,True
0.01402805621,0.003607214525,0.03976021437,2.794575047,True
0.01402805621,0.003807615327,0.03692925283,2.595598895,True
0.01402805621,0.004008016128,0.03438138744,2.416520357,True
0.01402805621,0.004208416929,0.0320761759,2.254496918,True
0.01402805621,0.004408817731,0.02998052903,2.107202883,True
0.01402805621,0.004609218532,0.02806711232,1.972717023,True
0.01402805621,0.004809619334,0.026313147,1.849438319,True
0.01402805621,0.005010020135,0.02469949891,1.736021911,True
0.01402805621,0.005210420936,0.02320997758,1.631329841,True
0.01402805621,0.005410821738,0.02183079117,1.53439274,True
0.01402805621,0.005611222539,0.02055011807,1.444379717,True
0.01402805621,0.005811623341,0.01935776726,1.360574489,True
0.01402805621,0.006012024142,0.01824490649,1.282356276,True
0.01402805621,0.006212424943,0.0172038432,1.209184399,True
0.01402805621,0.006412825745,0.01622784636,1.140585764,True
0.01402805621,0.006613226546,0.01531100084,1.076144623,True
0.01402805621,0.006813627348,0.01444808741,1.015494136,True
0.01402805621,0.007014028149,0.01363448332,0.958309392,True
0.01402805621,0.007214428951,0.01286607945,0.9043015778,True
0.01402805621,0.007414829752,0.01213921093,0.853213105,True
0.01402805621,0.007615230553,0.01145059865,0.8048134991,True
0.01402805621,0.007815631355,0.01079729981,0.7588959242,True
0.01402805621,0.008016032156,0.01017666592,0.715274228,True
0.01402805621,0.008216432958,0.00958630685,0.6737804195,True
0.01402805621,0.008416833759,0.009024060117,0.6342625065,True
0.01402805621,0.00861723456,0.008487964394,0.596582636,True
0.01402805621,0.008817635362,0.007976236659,0.5606154869,True
0.01402805621,0.009018036163,0.007487252379,0.5262468777,True
0.01402805621,0.009218436965,0.007019528284,0.4933725559,True
0.01402805621,0.009418837766,0.006571707342,0.4618971413,True
0.01402805621,0.009619238567,0.006142545606,0.4317332023,True
0.01402805621,0.009819639369,0.005730900675,0.4028004446,True
