mean,var,mu,sigma
1e-10,0.0019138277170340683,-42.92237685888011,6.308173416915494
1e-10,0.0019238477569138279,-42.92498783073461,6.308587306330024
1e-10,0.0019338677967935872,-42.9275852390385,6.308999018718903
1e-10,0.0019438878366733468,-42.93016922398445,6.3094085767279315
1e-10,0.001953907876553106,-42.93273992360275,6.309816002652105
1e-10,0.0019639279164328657,-42.935297473805576,6.31022131844282
1e-10,0.001973947956312625,-42.93784200843008,6.310624545714888
1e-10,0.0019839679961923848,-42.940373659280425,6.311025705753379
1e-10,0.0019939880360721443,-42.94289255616876,6.31142481952028
1e-10,0.002004008075951904,-42.945398826955156,6.311821907661004
1e-10,0.0020140281158316634,-42.947892597586545,6.312216990510717
1e-10,0.002024048155711423,-42.95037399213471,6.312610088100524
1e-10,0.0020340681955911826,-42.95284313283331,6.31300122016349
1e-10,0.002044088235470942,-42.95530014011403,6.313390406140519
1e-10,0.0020541082753507017,-42.957745132641804,6.313777665186088
1e-10,0.002064128315230461,-42.96017822734923,6.314163016173842
1e-10,0.0020741483551102204,-42.962599539470105,6.314546477702044
1e-10,0.00208416839498998,-42.965009182572174,6.314928068098911
1e-10,0.0020941884348697395,-42.96740726858914,6.315307805427805
1e-10,0.002104208474749499,-42.96979390785178,6.31568570749231
1e-10,0.0021142285146292586,-42.97216920911846,6.316061791841179
1e-10,0.002124248554509018,-42.97453327960488,6.316436075773176
1e-10,0.0021342685943887777,-42.976886225013075,6.316808576341794
1e-10,0.0021442886342685373,-42.979228149559816,6.3171793103598635
1e-10,0.002154308674148297,-42.981559156004266,6.317548294404058
1e-10,0.0021643287140280564,-42.98387934567507,6.31791554481929
1e-10,0.002174348753907816,-42.98618881849676,6.3182810777230065
1e-10,0.002184368793787575,-42.988487673015584,6.318644909009389
1e-10,0.0021943888336673346,-42.990776006424774,6.319007054353447
1e-10,0.002204408873547094,-42.99305391458914,6.319367529215037
1e-10,0.0022144289134268537,-42.995321492069195,6.319726348842763
1e-10,0.0022244489533066133,-42.997578832144754,6.320083528277818
1e-10,0.002234468993186373,-42.99982602683788,6.320439082357716
1e-10,0.0022444890330661324,-43.00206316693544,6.320793025719951
1e-10,0.002254509072945892,-43.004290342011124,6.321145372805575
1e-10,0.0022645291128256515,-43.00650764044693,6.321496137862693
1e-10,0.002274549152705411,-43.00871514945422,6.321845334949876
1e-10,0.0022845691925851707,-43.01091295509433,6.322192977939516
1e-10,0.0022945892324649298,-43.01310114229865,6.322539080521083
1e-10,0.0023046092723446893,-43.015279794888386,6.322883656204332
1e-10,0.002314629312224449,-43.01744899559377,6.323226718322427
1e-10,0.0023246493521042084,-43.01960882607291,6.3235682800350075
1e-10,0.002334669391983968,-43.0217593669303,6.323908354331179
1e-10,0.0023446894318637276,-43.023900697734774,6.324246954032443
1e-10,0.002354709471743487,-43.026032897037254,6.32458409179557
1e-10,0.0023647295116232467,-43.028156042388005,6.324919780115405
1e-10,0.0023747495515030062,-43.03027021035355,6.325254031327611
1e-10,0.002384769591382766,-43.03237547653326,6.325586857611364
1e-10,0.0023947896312625254,-43.03447191557555,6.325918270991982
1e-10,0.0024048096711422845,-43.0365596011938,6.326248283343508
1e-10,0.002414829711022044,-43.03863860618186,6.326576906391228
1e-10,0.0024248497509018036,-43.04070900242931,6.326904151714147
1e-10,0.002434869790781563,-43.042770860936386,6.327230030747409
1e-10,0.0024448898306613227,-43.04482425182856,6.327554554784668
1e-10,0.0024549098705410823,-43.046869244370846,6.327877734980408
1e-10,0.002464929910420842,-43.04890590698187,6.328199582352221
1e-10,0.0024749499503006014,-43.05093430724756,6.328520107783035
1e-10,0.002484969990180361,-43.052954511934594,6.328839322023295
