mean,var,M1_final,M2_final
1e-10,0.0016132265206412826,2.3101508493545674e-106,1.0
1e-10,0.0016232465605210422,2.3101508468583266e-106,1.0
1e-10,0.0016332666004008017,2.3101508698920434e-106,1.0
1e-10,0.0016432866402805613,2.310151180522744e-106,1.0
1e-10,0.0016533066801603206,2.310150858783042e-106,1.0
1e-10,0.0016633267200400802,2.310150871720667e-106,1.0
1e-10,0.0016733467599198398,2.3101508589855283e-106,1.0
1e-10,0.0016833667997995993,2.3101513484379296e-106,1.0
1e-10,0.0016933868396793589,2.3101509505387948e-106,1.0
1e-10,0.0017034068795591182,2.3101508480379123e-106,1.0
1e-10,0.0017134269194388778,2.310151782801217e-106,1.0
1e-10,0.0017234469593186373,2.3101508789660346e-106,1.0
1e-10,0.001733466999198397,2.3101508489112176e-106,1.0
1e-10,0.0017434870390781565,2.3101508555872224e-106,1.0
1e-10,0.001753507078957916,2.310151406144183e-106,1.0
1e-10,0.0017635271188376754,2.310150848172243e-106,1.0
1e-10,0.001773547158717435,2.3101508640163054e-106,1.0
1e-10,0.0017835671985971945,2.3101508481399173e-106,1.0
1e-10,0.001793587238476954,2.3101511788034342e-106,1.0
1e-10,0.0018036072783567136,2.3101508502698443e-106,1.0
1e-10,0.001813627318236473,2.310150856303224e-106,1.0
1e-10,0.0018236473581162325,2.3101508717869617e-106,1.0
1e-10,0.001833667397995992,2.3101538880866936e-106,1.0
1e-10,0.0018436874378757516,2.3101509274109154e-106,1.0
1e-10,0.0018537074777555112,2.310150846722596e-106,1.0
1e-10,0.0018637275176352707,2.310150968576364e-106,1.0
1e-10,0.00187374755751503,2.3101508665587574e-106,1.0
1e-10,0.0018837675973947896,2.3101508495478673e-106,1.0
1e-10,0.0018937876372745492,2.3101508471349023e-106,1.0
1e-10,0.0019038076771543087,2.3101508646351083e-106,1.0
1e-10,0.0019138277170340683,2.310150862077256e-106,1.0
1e-10,0.0019238477569138279,2.3101508487655515e-106,1.0
1e-10,0.0019338677967935872,2.3101508562366473e-106,1.0
1e-10,0.0019438878366733468,2.3101508494064935e-106,1.0
1e-10,0.001953907876553106,2.3101508600899072e-106,1.0
1e-10,0.0019639279164328657,2.310150883563128e-106,1.0
1e-10,0.001973947956312625,2.31015092733418e-106,1.0
1e-10,0.0019839679961923848,2.310150856387564e-106,1.0
1e-10,0.0019939880360721443,2.3101508780782e-106,1.0
1e-10,0.002004008075951904,2.3101508693936554e-106,1.0
1e-10,0.0020140281158316634,2.310150848960632e-106,1.0
1e-10,0.002024048155711423,2.3101508630212323e-106,1.0
1e-10,0.0020340681955911826,2.310150893163607e-106,1.0
1e-10,0.002044088235470942,2.3101509607051903e-106,1.0
1e-10,0.0020541082753507017,2.310150853030466e-106,1.0
1e-10,0.002064128315230461,2.3101508625804055e-106,1.0
1e-10,0.0020741483551102204,2.3101766741726886e-106,1.0
1e-10,0.00208416839498998,2.3101508602319244e-106,1.0
1e-10,0.0020941884348697395,2.3101508486745253e-106,1.0
1e-10,0.002104208474749499,2.310150862611473e-106,1.0
1e-10,0.0021142285146292586,2.310150848504702e-106,1.0
1e-10,0.002124248554509018,2.31015086001818e-106,1.0
1e-10,0.0021342685943887777,2.3101508468733445e-106,1.0
1e-10,0.0021442886342685373,2.3101509393952997e-106,1.0
1e-10,0.002154308674148297,2.3101508515068335e-106,1.0
1e-10,0.0021643287140280564,2.31015085114475e-106,1.0
1e-10,0.002174348753907816,2.3101510310621324e-106,1.0
1e-10,0.002184368793787575,2.3101508547996974e-106,1.0
1e-10,0.0021943888336673346,2.3101508787573663e-106,1.0
1e-10,0.002204408873547094,2.3101508486736234e-106,1.0
1e-10,0.0022144289134268537,2.310150859240133e-106,1.0
1e-10,0.0022244489533066133,2.3101508737823326e-106,1.0
1e-10,0.002234468993186373,2.3101508585558434e-106,1.0
1e-10,0.0022444890330661324,2.3101508590520153e-106,1.0
